id;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordNumber;recordedBy;establishmentMeans;eventDate;year;month;day;collectionCode;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;infraspecificEpithet;taxonRank
30e94bec-2d80-4e3a-bb47-5e842375791e;CC_BY_4_0;;CEN;;occurrence;30e94bec-2d80-4e3a-bb47-5e842375791e;19533783;;Ldio Coradin;;1992-09-20T00:00:00Z;1992.0;9.0;20.0;BR;Rodovia Itabuna - Aurelino Leal, km 33.;-14.6;-39.31667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
7d6eefcc-9f66-44e9-a248-158132b948bb;CC_BY_4_0;;CEN;;occurrence;7d6eefcc-9f66-44e9-a248-158132b948bb;19533769;;Ldio Coradin;;1981-08-19T00:00:00Z;1981.0;8.0;19.0;BR;Rodovia Braslia - Fortaleza BR - 242, 93 km Leste de Barreiras.;-12.18333;-44.2;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
80ac71c9-a55d-4d9f-920a-fad8d6583c19;CC_BY_4_0;;CEN;;occurrence;80ac71c9-a55d-4d9f-920a-fad8d6583c19;19533776;;Ldio Coradin;;1987-08-28T00:00:00Z;1987.0;8.0;28.0;BR;Rodovia Casimiro de Abreu - Campos (BR - 101), km 94.;-21.88333;-41.55;;;;;;Vigna adenantha (E.Mey.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
42bea9da-c180-413c-a7b2-3293140e9fa5;CC_BY_4_0;;CEN;;occurrence;42bea9da-c180-413c-a7b2-3293140e9fa5;19533752;;Glocimar Pereira-Silva;;2008-04-28T00:00:00Z;2008.0;4.0;28.0;BR;Estrada Carolina - Barra do Ouro, km 07.;-7.399722;-47.477222;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
3a4fc16a-6e12-4a4c-890a-76ec0855ec80;CC_BY_4_0;;CEN;;occurrence;3a4fc16a-6e12-4a4c-890a-76ec0855ec80;19533777;;Ldio Coradin;;1981-08-22T00:00:00Z;1981.0;8.0;22.0;BR;Rodovia Braslia - Fortaleza, 9 km oeste da entrada para Lenis.;-12.48333;-41.31667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
b9bafd3f-75df-4c78-97e8-364402c7407b;CC_BY_4_0;;CEN;;occurrence;b9bafd3f-75df-4c78-97e8-364402c7407b;19533784;69379.0;Luciano Paganucci de Queiroz;;1996-08-30T00:00:00Z;1996.0;8.0;30.0;BR;Dunas de Itapu. atrs do Condomnio Stella Maris.;-12.9711;-38.5108;;;;;;Vigna halophila (Piper) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
5acb0f8e-c938-4b25-b2ac-bf40e6573651;CC_BY_4_0;;CEN;;occurrence;5acb0f8e-c938-4b25-b2ac-bf40e6573651;19533785;;Jos Francisco Montenegro Valls;;1985-10-29T00:00:00Z;1985.0;10.0;29.0;BR;1,5 km a sudoeste da ponte sobre o Rio Negro.;-19.329444;-55.184722;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
ea62bddb-fb2f-4b6b-9402-53de05465450;CC_BY_4_0;;CEN;;occurrence;ea62bddb-fb2f-4b6b-9402-53de05465450;19533718;2332.0;Antnio Costa Allem;;1978-08-26T00:00:00Z;1978.0;8.0;26.0;BR;;-14.1514;-48.0783;;;;;;Vigna candida (Vell.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
ef6e51bd-bab5-4ca8-a4d4-85af03083481;CC_BY_4_0;;CEN;;occurrence;ef6e51bd-bab5-4ca8-a4d4-85af03083481;19533761;;Ldio Coradin;;1987-06-18T00:00:00Z;1987.0;6.0;18.0;BR;Rodovia Formosa - Alvorada (BR-020) Km 58.;-15.23333;-47.18333;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
9bc41adc-d5bb-43e2-bde6-bab9efda1d95;CC_BY_4_0;;CEN;;occurrence;9bc41adc-d5bb-43e2-bde6-bab9efda1d95;19533770;;Ldio Coradin;;1983-07-07T00:00:00Z;1983.0;7.0;7.0;BR;Rodovia (BR - 242) Ibotirama - Barreiras km 30.;-12.2;-43.5;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
f77f8de0-72c4-4ab9-a49b-a2ad5bb109f0;CC_BY_4_0;;CEN;;occurrence;f77f8de0-72c4-4ab9-a49b-a2ad5bb109f0;19533743;;Ernestino de S. Gomes Guarino;;2000-05-23T00:00:00Z;2000.0;5.0;23.0;BR;Reserva indgena Krah, aldeia Pedra Branca.;-8.30083;-47.63611;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
3c27124b-6780-4e35-b698-d852d3a9ca93;CC_BY_4_0;;CEN;;occurrence;3c27124b-6780-4e35-b698-d852d3a9ca93;19533755;;Ldio Coradin;;1987-07-04T00:00:00Z;1987.0;7.0;4.0;BR;Rodovia Imperatriz - Porto Franco (BR - 010), km 75.;-6.18333;-47.36667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
90820f16-5414-40ae-a7b6-66b26450079e;CC_BY_4_0;;CEN;;occurrence;90820f16-5414-40ae-a7b6-66b26450079e;19533780;11526.0;Gilberto Pedralli;;1986-07-22T00:00:00Z;1986.0;7.0;22.0;BR;"A 67 KM DE MANTENA;";-18.75;-41.26667;;;;;;Vigna adenantha (E.Mey.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
0a256add-9dbb-4e6a-b625-610788a47409;CC_BY_4_0;;CEN;;occurrence;0a256add-9dbb-4e6a-b625-610788a47409;19534785;41582.0;Marcelo Fragomeni Simon;;2001-05-11T00:00:00Z;2001.0;5.0;11.0;BR;Cachoeira da Velha. Norte. Crescendo na beira do Rio Novo.;-10.266666;-46.866666;;;;;;Xanthosoma striatipes (Kunth) Madison;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
c77d8328-4de1-477d-824e-94ac4ffa53ba;CC_BY_4_0;;CEN;;occurrence;c77d8328-4de1-477d-824e-94ac4ffa53ba;19533766;2305.0;Antnio Costa Allem;;1978-08-23T00:00:00Z;1978.0;8.0;23.0;BR;Rod. Belm-Braslia 10 km E Alvorada.;-14.4808;-46.4922;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
e3579562-5ca6-4f90-a390-afb5cd2fed24;CC_BY_4_0;;CEN;;occurrence;e3579562-5ca6-4f90-a390-afb5cd2fed24;19533760;;Nuno Maria de Sousa Costa;;1988-11-20T00:00:00Z;1988.0;11.0;20.0;BR;Beira de praia.;-0.65;-47.26667;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
3145c1bd-72e5-45f3-bde1-0fcb4b2016be;CC_BY_4_0;;CEN;;occurrence;3145c1bd-72e5-45f3-bde1-0fcb4b2016be;19533762;36306.0;Roberta Cunha de Mendona;;2000-04-11T00:00:00Z;2000.0;4.0;11.0;BR;Fazenda Ponta da Serra, propriedade do Sr. Rmulo Soares Veloso.;-13.21833;-46.79333;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
82687ed9-29ff-4bb5-8efb-00cfa388b545;CC_BY_4_0;;CEN;;occurrence;82687ed9-29ff-4bb5-8efb-00cfa388b545;19533706;16962.0;Bruno Machado Teles Walter;;1992-04-12T00:00:00Z;1992.0;4.0;12.0;BR;Ponte sobre o rio Bagagem, estrada Niquelndia - Colinas do Sul, 32,5 km de Niquelndia.;-14.36667;-48.2;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
ccc85320-0d47-439b-939f-63a1fef6139f;CC_BY_4_0;;CEN;;occurrence;ccc85320-0d47-439b-939f-63a1fef6139f;19533733;;Francisco Ferreira de Miranda Santos;;2004-08-10T00:00:00Z;2004.0;8.0;10.0;BR;Lago Norte. Cerrado prximo a beira do Lago Parano, prximo a QL 15.;-15.7797;-47.9297;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
be900d08-9059-47fa-8b19-a60e73ee8b5a;CC_BY_4_0;;CEN;;occurrence;be900d08-9059-47fa-8b19-a60e73ee8b5a;19533764;;Taciana Barbosa Cavalcanti;;2002-06-14T00:00:00Z;2002.0;6.0;14.0;BR;Parque Estadual do Jalapo. Estrada de terra Mateiros - Ponte Alta do Tocantins, a 21 km de Mateiros.;-10.60222;-46.5725;;;;;;Vigna adenantha (E.Mey.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
0e9143c9-909f-4013-90c3-a6658836380c;CC_BY_4_0;;CEN;;occurrence;0e9143c9-909f-4013-90c3-a6658836380c;19533699;;Glocimar Pereira-Silva;;1999-06-22T00:00:00Z;1999.0;6.0;22.0;BR;Ilha Pedra Talhada, prximo  foz do rio Bagagem.;-13.945277;-48.281666;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
